"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"vecSplitted.34";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.35";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.36";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.37";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.38";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.39";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.40";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.41";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.42";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.43";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.44";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.45";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.46";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.47";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.48";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.49";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.50";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.51";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.52";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.53";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.54";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.55";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.56";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.57";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.58";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
"vecSplitted.59";"M";"56714";"53060";"463";"55.0";"0.0";"0.0";"1006M";"56714";"53060"
