"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"vecSplitted.48";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.49";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.50";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.51";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.52";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.53";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.54";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.55";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.56";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.57";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.58";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
